dataset,rms-mad,mrs-mad,rms2-mad,cv28-mad,rms-rmsd,mrs-rmsd,rms2-rmsd,cv28-rmsd
barrsmith,0.9340678713958636,0.9340678713958636,0.9340678713958636,0.9346784850619944,2.267168485251808,2.267168485251808,2.267168485251808,2.267442185162433
biscuit,0.7412519307940116,0.7412519307940116,0.7412519307940116,0.7406175469582158,1.323533861458055,1.323533861458055,1.323533861458055,1.3226823530794134
biscuitbook,19.753195021677946,19.753195021677946,19.753195021677946,19.927762172095495,31.657676962210886,31.657676962210886,31.657676962210886,31.853235495327425
biscuitbookbox,11.17239635135592,11.17239635135592,11.17239635135592,11.203208761090474,18.49594617168883,18.49594617168883,18.49594617168883,18.54502660751427
boardgame,21.901873887127497,21.901873887127497,21.901873887127497,21.738513555475464,66.04617077299024,66.04617077299024,66.04617077299024,63.65408894021382
bonhall,0.4311739695937226,0.4311739695937226,0.4311739695937226,0.43156225628902933,0.8546434994305967,0.8546434994305967,0.8546434994305967,0.8557809501483393
bonython,0.23146319961639308,0.23146319961639308,0.23146319961639308,0.23163260346810566,0.4259838384608928,0.4259838384608928,0.4259838384608928,0.4261232864323093
book,0.5918772759365958,0.5918772759365958,0.5918772759365958,0.5914829996784305,1.3676798041277414,1.3676798041277414,1.3676798041277414,1.3671338196844611
breadcartoychips,56.01451996976445,56.01451996976445,56.01451996976445,63.94044142060915,109.34445114148228,109.34445114148228,109.34445114148228,120.67234338664794
breadcube,2.8281469810399997,2.8281469810399997,2.8281469810399997,2.8274633160766833,5.512578875199455,5.512578875199455,5.512578875199455,5.512007771339686
breadcubechips,18.928322347732074,18.928322347732074,18.928322347732074,18.909147511106216,32.34647335009235,32.34647335009235,32.34647335009235,32.387748593635855
breadtoy,1.9193765997768155,1.9193765997768155,1.9193765997768155,1.9157712455545128,3.3839188225591057,3.3839188225591057,3.3839188225591057,3.382351248434478
breadtoycar,47.138188866775295,47.138188866775295,47.138188866775295,48.00910921500843,118.25247346031945,118.25247346031945,118.25247346031945,132.43710083725512
carchipscube,15.534901313431732,15.534901313431732,15.534901313431732,15.405369843519404,24.189244813108356,24.189244813108356,24.189244813108356,23.851293352824747
cube,0.5721458400755426,0.5721458400755426,0.5721458400755426,0.5720441015636145,1.4565155197028503,1.4565155197028503,1.4565155197028503,1.4565025588702223
cubebreadtoychips,45.684487350414514,45.684487350414514,45.684487350414514,48.84733885004726,105.33007072816487,105.33007072816487,105.33007072816487,107.36695340971492
cubechips,11.606445789236183,11.606445789236183,11.606445789236183,11.625912595796335,19.968251288280644,19.968251288280644,19.968251288280644,20.05228714355975
cubetoy,9.50326434228816,9.50326434228816,9.50326434228816,9.502874661309761,15.22817825271568,15.22817825271568,15.22817825271568,15.217785927573747
dinobooks,22.23229851177357,22.23229851177357,22.23229851177357,22.310152905059812,78.22136961252367,78.22136961252367,78.22136961252367,77.40461958712682
elderhalla,0.4700477249351742,0.4700477249351742,0.4700477249351742,0.4699430961355151,0.9686999081757377,0.9686999081757377,0.9686999081757377,0.9688098436789605
elderhallb,0.6735536751203839,0.6735536751203839,0.6735536751203839,0.6722085642518801,1.3203498480129054,1.3203498480129054,1.3203498480129054,1.3187753618986795
game,0.579058201781129,0.579058201781129,0.579058201781129,0.5789875704050489,1.1913765543559687,1.1913765543559687,1.1913765543559687,1.1914249685300267
gamebiscuit,1.3517529544002467,1.3517529544002467,1.3517529544002467,1.3484754684586333,2.385083485513524,2.385083485513524,2.385083485513524,2.378138429841106
hartley,0.8081111261107156,0.8081111261107156,0.8081111261107156,0.8065092922186714,1.9028437392187185,1.9028437392187185,1.9028437392187185,1.9019557030463166
johnsona,2.074290870889836,2.074290870889836,2.074290870889836,2.073588893853182,5.666517135880289,5.666517135880289,5.666517135880289,5.6650885991123285
johnsonb,1.8370412817668909,1.8370412817668909,1.8370412817668909,1.8380593393192655,5.886947355905245,5.886947355905245,5.886947355905245,5.888079765628439
ladysymon,0.5922186507570387,0.5922186507570387,0.5922186507570387,0.5922159030320645,1.4615212983394779,1.4615212983394779,1.4615212983394779,1.461482883942017
library,0.576314945293416,0.576314945293416,0.576314945293416,0.5767676607173695,1.5673558644019345,1.5673558644019345,1.5673558644019345,1.5678990533664294
napiera,0.42182877609539127,0.42182877609539127,0.42182877609539127,0.4213930153535567,0.8319958801773774,0.8319958801773774,0.8319958801773774,0.8315634086757432
napierb,1.609408936209653,1.609408936209653,1.609408936209653,1.5321548486798253,4.81413517943534,4.81413517943534,4.81413517943534,4.728814219804295
neem,4.998153002520883,4.998153002520883,4.998153002520883,4.995936508635648,9.820652253094444,9.820652253094444,9.820652253094444,9.81506385818645
nese,0.8578162133155706,0.8578162133155706,0.8578162133155706,0.8538007537165456,1.555972457728417,1.555972457728417,1.555972457728417,1.549885448883233
oldclassicswing,0.7192243826516083,0.7192243826516083,0.7192243826516083,0.7125619826419097,1.725207562062791,1.725207562062791,1.725207562062791,1.7157514009882162
physics,0.6021456904156856,0.6021456904156856,0.6021456904156856,0.602048807257956,1.4192388120845862,1.4192388120845862,1.4192388120845862,1.419442080632575
