dataset,rms-mad,mrs-mad,rms2-mad,rmsp5-mad,rms-rmsd,mrs-rmsd,rms2-rmsd,rmsp5-rmsd
barrsmith,1.3559462194066891,1.354803941852774,1.3520049177378433,1.4071811039539177,3.046028219259023,3.044321804285245,3.0404949731550235,3.0935255131356607
biscuit,0.808213074063354,0.807493614634074,0.8047799210422026,0.8294203093334168,1.4347505133444038,1.4336914241116834,1.4298806497273628,1.462490206760797
biscuitbook,33.33685262608166,33.84439670033821,64.31886318509902,50.34078501788599,51.59531657563714,52.266505166912914,100.00020310871896,113.0709809621698
biscuitbookbox,19.70920133073759,19.78177411980991,19.961563048193707,18.77201019554346,32.7192978262731,32.851136798672,33.187418838629654,31.024999137959156
boardgame,38.42091021964563,36.98894928172241,36.03900178299843,46.95334478838024,192.0264786089204,254.46008664746748,556.5878716547069,89.26501866352825
bonhall,0.4431001300388028,0.4432119030019307,0.44396890041750176,0.45715333099783945,0.888840233204435,0.8885301951623008,0.8891907852776015,0.9414619207894606
bonython,0.32819146479750133,0.3283530691489388,0.3289628413946169,0.3251840688395321,0.5963317245521802,0.5967230182809081,0.5976763833522382,0.5897748810940421
book,0.8191517191328233,0.8187782571218648,0.8173715433882861,0.8454079618895037,1.7917241504570602,1.789624051644769,1.7806285447127992,1.893974750409652
breadcartoychips,56.21719283405064,80.71444701530788,156.82323649876506,85.47205753351562,99.68248466959515,139.70072982607985,428.6655546137764,123.88725993487034
breadcube,2.9071717381378845,2.906634245561573,2.908326951413278,2.9176281624885343,5.763377668114698,5.764833936087251,5.770274380997997,5.756155532822561
breadcubechips,20.849322283135358,20.78434087929049,20.941369466436097,25.437735125632543,32.971252783703015,32.941379981539804,33.90748529007525,39.37086535961939
breadtoy,1.9985040025103205,1.9967037665168463,1.9910389704339388,2.071184967633611,3.904224366449369,3.905072978439759,3.9107078234773263,3.917523587112345
breadtoycar,45.74105733516282,45.28662066824957,70.06958115660458,54.2391223321495,97.34214421847194,104.62685567027094,135.04444036302004,113.1783355562225
carchipscube,11.589607157528098,11.401991166882553,10.940282141205595,17.37822522913882,18.607787597184284,18.24231820848532,17.31822976999114,29.013784076896002
cube,1.3598318327947359,1.3513385739816728,1.2927190905645647,1.6129609575298018,2.7809142291390683,2.7655920923643613,2.6614465554156026,3.2621381488020242
